,900,805,703,606,498,400,300,194,103,52
1.1,,,,,,,,,0,0
1.19,,,,,,,,0,,
1.27,,,,0,0,0,0,,,
1.29,,,0,,,,,,,
1.34,,0,,,,,,0.00871128,,
1.43,,,,0.00580752,0.005886,,0.00965304,,,
1.45,,,0.0086328,,,0.00847584,,,,
1.5,,0.00651384,,,,,,,,0.0188352
1.53,0,,,,,,,,,
1.61,,,0.01710864,0.01522512,0.0184428,0.01781496,0.01718712,,0.01616688,
1.66,,0.01593144,,,,,,0.0243288,,
1.69,0.00776952,,,,,,,,,
1.77,,,0.027468,0.0270756,0.02597688,0.02715408,0.02621232,,0.02809584,
1.85,0.01859976,0.02809584,,,,,,0.0364932,,
1.91,,,,0.0364932,0.0341388,0.03460968,0.0364932,,0.03774888,
2.01,0.02527056,0.03460968,,,,,0.04292856,,,
2.1,,,0.03586536,,0.04065264,,,,,
2.17,0.03555144,,,,,,0.05038416,,,
2.26,,,0.04230072,0.04583232,0.04528296,0.04857912,,,,
2.33,0.0435564,0.04583232,,,,,,,,
2.49,0.05266008,0.05242464,,,,,,,,
2.65,0.05736888,,,,,,,,,
2.81,0.06113592,,,,,,,,,
2.97,,0.0710244,,,,,,,,
3.14,0.07950024,0.08413056,,,,,,,,
3.61,0.0933912,,,,,,,,,
3.9,,0.09590256,,,,,,,,